,actor_list,audiance,director_list,duration,genres,name,open_day,story_header,watch_grade,troll,image,actors
0,유진|박한별|차수연|조은지|정혜진|황하나|윤진성|이혜상|이선호|이영진|조덕제|반민정|장리우|황승언,255609,윤재연,97.0,[0],요가학원,20090820,그녀들이 예뻐지는 무서운 비밀 (요가학원),15세이상관람가,266,https://movie-phinf.pstatic.net/20111223_165/1324590424170RkOeL_JPEG/movie_image.jpg,"[269, 272, 270, 271]"
1,김강우|황정민|김민선|김수로|김영근|김효진|배종옥|송중기|신세경|엄정화|이시영|장혁|정의철|차수연|김동욱|클라라|김규리|배종옥,388416,허진호|오기환,128.0,"[2, 18]",오감도,20090709,(오감도) 에로스 그 이상의 사랑 이야기 | 사랑의 편견을 벗.어.라!,청소년관람불가,247,https://movie-phinf.pstatic.net/20111223_255/1324587830755SfvCf_JPEG/movie_image.jpg,"[213, 47, 206, 280, 278, 93, 171, 279, 25, 276, 282, 270, 281, 283, 215, 278]"
2,김다율|주원|김한나|최진리|안재현|박세영|김성오|윤혜빈|이대수|이상훈|이정연|이주영|이주희|이효재|정라엘|최우진|기안84|김성준|김승주|박상욱|배유람|이일화|이동휘|양흥주,583436,오기환,114.0,"[7, 2]",패션왕,20141106,,15세이상관람가,232,https://movie-phinf.pstatic.net/20120202_183/1328147549804dmvKG_JPEG/movie_image.jpg,"[168, 169]"
3,저스틴 채트윈|주윤발|에미 로섬|제임스 마스터스,384927,제임스 왕,85.0,"[4, 8, 9, 11]",드래곤볼 에볼루션,20090312,3.12. 전세계가 기다려온 전설이 살아난다,전체관람가,218,https://movie-phinf.pstatic.net/20111223_30/1324566313152L4wp0_JPEG/movie_image.jpg,"[287, 289, 288, 290]"
4,하지원|박철민|김성태|차예련|이한위|오지호|송새벽|안성기|박원희|김형석|박정학|배명호|장동원|정상용|박영수|오민석,2225436,김지훈,101.0,"[9, 4, 10]",7광구,20110804,,15세이상관람가,214,https://movie-phinf.pstatic.net/20111223_82/1324641257061OKJu8_JPEG/movie_image.jpg,"[96, 225, 224, 73, 223]"
5,류승룡|심은경|이준|연상호|연상호|연상호|연상호|오윤석|이건우|이동하|이상희|이상희|최길수|서호철,121578,연상호,92.0,[20],서울역,20160817,“모든 것은 이 곳에서 시작되었다”,15세이상관람가,210,https://movie-phinf.pstatic.net/20160818_252/1471487509160C87gg_JPEG/movie_image.jpg,"[72, 85, 109]"
6,정지훈|강소라|이범수|민효린|김희원|고창석|이시언,168884,김유성,116.0,[2],자전차왕 엄복동,20190227,,12세이상관람가,198,https://movie-phinf.pstatic.net/20190201_136/1548989242154HiJy8_JPEG/movie_image.jpg,"[13, 14, 184]"
7,강동원|한효주|정우성|김무열|최민호|한예리|신은수|허준호|문예원|김현준|이가경|박형수|전여빈|김기태|이동하|김재영|이승진|이시형|서영민|선호삼|이진한|이찬희|이확광|임서영|안성봉|양도현|김현창|박영서|박주희|정원종|조아라|김기범|최진호|허지원|김성호|김성호|김예은|김우진,891308,김지운,138.0,"[9, 4]",인랑,20180725,,15세이상관람가,188,https://movie-phinf.pstatic.net/20180530_139/1527644339969WkMqB_JPEG/movie_image.jpg,"[56, 57, 58, 59, 68, 28]"
8,조쉬 하트넷|이병헌|기무라 타쿠야,199333,트란 안 홍,111.0,"[12, 10, 4]",나는 비와 함께 간다,20091015,,청소년관람불가,188,https://movie-phinf.pstatic.net/20111223_83/1324592420437lYvyR_JPEG/movie_image.jpg,"[262, 154, 264]"
9,김수현|성동일|이성민|최진리|조우진|이경영|김홍파|정인겸|최권|한지은|문광무|박서준|장현도|전누리|최안나|이경민|이상훈|이선민|이선민|이성민|이세원|이수연|이정현|이태형|황수진|이형주|임지혜|고규필|황성준,448430,이사랑,137.0,[4],리얼,20170628,"아시아 최대 규모의 카지노를 둘러싼 거대한 음모와 전쟁
""나와 똑같이 생긴 놈이 나타났다""",청소년관람불가,178,https://movie-phinf.pstatic.net/20170711_219/1499751320623KIYIh_JPEG/movie_image.jpg,"[102, 103, 48, 169, 48, 94]"
