id,name,audiance,open_day,duration,genres,image,watch_grade,actors
0,샤잠!,500650,20190403,131,[4],https://movie-phinf.pstatic.net/20190322_198/1553220632606va06v_JPEG/movie_image.jpg,12,"[967, 31, 964, 320]"
1,돈,3117350,20190320,115,[12],https://movie-phinf.pstatic.net/20181219_162/1545185650147bHGa4_JPEG/movie_image.jpg,15,"[672, 122, 496]"
2,어스,1344563,20190327,116,"[0, 10]",https://movie-phinf.pstatic.net/20190329_232/1553849027701K0DBy_JPEG/movie_image.jpg,15,"[393, 1223, 206]"
3,생일,375445,20190403,120,[2],https://movie-phinf.pstatic.net/20190329_223/1553847778414CTAcF_JPEG/movie_image.jpg,0,"[875, 399, 1441]"
4,장난스런 키스,318784,20190327,122,[18],https://movie-phinf.pstatic.net/20190305_257/1551749723722A0Gw5_JPEG/movie_image.jpg,12,"[1008, 1348]"
5,캡틴 마블,5649943,20190306,123,"[4, 8, 9]",https://movie-phinf.pstatic.net/20190225_72/1551069530582h2huX_JPEG/movie_image.jpg,12,"[1242, 1009, 711, 591]"
6,덤보,296253,20190327,111,"[11, 6]",https://movie-phinf.pstatic.net/20190328_112/1553762886182QHDpG_JPEG/movie_image.jpg,0,"[1206, 274, 728, 650]"
7,로망,46938,20190403,111,[18],https://movie-phinf.pstatic.net/20190306_13/1551862037635qnE0r_JPEG/movie_image.jpg,0,"[22, 420, 1155, 1446]"
8,콜레트,35223,20190327,112,[2],https://movie-phinf.pstatic.net/20190327_10/1553664829865BN4HO_JPEG/movie_image.jpg,15,"[218, 617, 63]"
9,바이스,9652,20190411,132,[2],https://movie-phinf.pstatic.net/20190322_181/1553216483584eF8l2_JPEG/movie_image.jpg,15,"[1074, 27, 1391, 1335]"
10,악질경찰,254451,20190320,127,"[12, 2]",https://movie-phinf.pstatic.net/20190312_100/1552354595583gzgz1_JPEG/movie_image.jpg,19,"[425, 1392, 416, 939, 102, 252]"
11,우상,175481,20190320,143,[10],https://movie-phinf.pstatic.net/20190306_44/1551851285506NYfPC_JPEG/movie_image.jpg,15,"[298, 875, 689]"
12,썬키스 패밀리,26086,20190327,105,"[11, 18, 7]",https://movie-phinf.pstatic.net/20190313_154/15524612817421mgYP_JPEG/movie_image.jpg,15,"[244, 518, 377, 994, 846]"
